kode,nama,tgl_catat,papan,sektor
SPRE,Soraya Berjaya Indonesia Tbk.,3 Juli 2024,Akselerasi,Consumer Cyclicals
SQMI,Wilton Makmur Indonesia Tbk.,15 Juli 2004,Pemantauan Khusus,Basic Materials
SRAJ,Sejahteraraya Anugrahjaya Tbk.,11 April 2011,Utama,Healthcare
SRIL,Sri Rejeki Isman Tbk.,17 Juni 2013,Pemantauan Khusus,Consumer Cyclicals
SRSN,Indo Acidatama Tbk,11 Januari 1993,Pengembangan,Basic Materials
SRTG,Saratoga Investama Sedaya Tbk.,26 Juni 2013,Utama,Financials
SSIA,Surya Semesta Internusa Tbk.,27 Maret 1997,Utama,Infrastructure
SSMS,Sawit Sumbermas Sarana Tbk.,12 Desember 2013,Utama,Consumer Non-Cyclicals
SSTM,Sunson Textile Manufacture Tbk,20 Agustus 1997,Pemantauan Khusus,Consumer Cyclicals
STAA,Sumber Tani Agung Resources Tb,10 Maret 2022,Utama,Consumer Non-Cyclicals
STAR,Calculus Global Ventures Tbk,13 Juli 2011,Pengembangan,Financials
STRK,Lovina Beach Brewery Tbk.,10 Oktober 2023,Pengembangan,Consumer Non-Cyclicals
STTP,Siantar Top Tbk.,16 Desember 1996,Pengembangan,Consumer Non-Cyclicals
SUGI,Sugih Energy Tbk.,19 Juni 2002,Pemantauan Khusus,Energy
SULI,SLJ Global Tbk.,21 Maret 1994,Pengembangan,Basic Materials
SUNI,Sunindo Pratama Tbk.,9 Januari 2023,Utama,Energy
SUPR,Solusi Tunas Pratama Tbk.,11 Oktober 2011,Pemantauan Khusus,Infrastructure
SURE,Super Energy Tbk.,5 Oktober 2018,Pengembangan,Energy
SURI,Maja Agung Latexindo Tbk.,7 Desember 2023,Pengembangan,Healthcare
SWAT,Sriwahana Adityakarta Tbk.,8 Juni 2018,Pemantauan Khusus,Basic Materials
SWID,Saraswanti Indoland Developmen,7 Juli 2022,Pengembangan,Consumer Cyclicals
TALF,Tunas Alfin Tbk.,17 Januari 2014,Pengembangan,Basic Materials
TAMA,Lancartama Sejati Tbk.,10 Februari 2020,Pemantauan Khusus,Infrastructure
TAMU,Pelayaran Tamarin Samudra Tbk.,10 Mei 2017,Pemantauan Khusus,Energy
TAPG,Triputra Agro Persada Tbk.,12 April 2021,Utama,Consumer Non-Cyclicals
TARA,Agung Semesta Sejahtera Tbk.,11 Juli 2014,Pemantauan Khusus,Properties & Real Estate
TAXI,Express Transindo Utama Tbk.,2 November 2012,Pemantauan Khusus,Transportation & Logistics
TAYS,Jaya Swarasa Agung Tbk.,6 Desember 2021,Pengembangan,Consumer Non-Cyclicals
TBIG,Tower Bersama Infrastructure T,26 Oktober 2010,Utama,Infrastructure
TBLA,Tunas Baru Lampung Tbk.,14 Februari 2000,Utama,Consumer Non-Cyclicals
TBMS,Tembaga Mulia Semanan Tbk.,23 Mei 1990,Pengembangan,Basic Materials
TCID,Mandom Indonesia Tbk.,30 September 1993,Pengembangan,Consumer Non-Cyclicals
TCPI,Transcoal Pacific Tbk.,6 Juli 2018,Pengembangan,Energy
TDPM,Tianrong Chemicals Industry Tb,9 April 2018,Pemantauan Khusus,Basic Materials
TEBE,Dana Brata Luhur Tbk.,18 November 2019,Utama,Energy
TECH,Indosterling Technomedia Tbk.,4 Juni 2020,Pemantauan Khusus,Technology
TELE,Omni Inovasi Indonesia Tbk.,12 Januari 2012,Pemantauan Khusus,Consumer Cyclicals
TFAS,Telefast Indonesia Tbk.,17 September 2019,Pengembangan,Technology
TFCO,Tifico Fiber Indonesia Tbk.,26 Februari 1980,Pemantauan Khusus,Consumer Cyclicals
TGKA,Tigaraksa Satria Tbk.,11 Juni 1990,Pengembangan,Consumer Non-Cyclicals
TGRA,Terregra Asia Energy Tbk.,16 Mei 2017,Pemantauan Khusus,Infrastructure
TGUK,Platinum Wahab Nusantara Tbk.,10 Juli 2023,Pengembangan,Consumer Non-Cyclicals
TIFA,KDB Tifa Finance Tbk.,8 Juli 2011,Pemantauan Khusus,Financials
TINS,Timah Tbk.,19 Oktober 1995,Utama,Basic Materials
TIRA,Tira Austenite Tbk,27 Juli 1993,Pengembangan,Industrials
TIRT,Tirta Mahakam Resources Tbk,13 Desember 1999,Pemantauan Khusus,Basic Materials
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,3 April 1990,Utama,Basic Materials
TLDN,Teladan Prima Agro Tbk.,12 April 2022,Pengembangan,Consumer Non-Cyclicals
TLKM,Telkom Indonesia (Persero) Tbk.,14 November 1995,Utama,Infrastructure
TMAS,Temas Tbk.,9 Juli 2003,Utama,Transportation & Logistics
TMPO,Tempo Intimedia Tbk.,8 Januari 2001,Pengembangan,Consumer Cyclicals
