kode,nama,tgl_catat,papan,sektor
FOOD,Sentra Food Indonesia Tbk.,8 Januari 2019,Pengembangan,Consumer Non-Cyclicals
FORU,Fortune Indonesia Tbk,17 Januari 2002,Pengembangan,Consumer Cyclicals
FORZ,Forza Land Indonesia Tbk.,28 April 2017,Pemantauan Khusus,Properties & Real Estate
FPNI,Lotte Chemical Titan Tbk.,21 Maret 2002,Pengembangan,Basic Materials
FREN,Smartfren Telecom Tbk.,29 November 2006,Pemantauan Khusus,Infrastructure
FUJI,Fuji Finance Indonesia Tbk.,9 Juli 2019,Pengembangan,Financials
FUTR,Futura Energi Global Tbk,27 Februari 2023,Pemantauan Khusus,Consumer Cyclicals
FWCT,Wijaya Cahaya Timber Tbk.,1 Februari 2023,Pengembangan,Basic Materials
GAMA,Aksara Global Development Tbk.,11 Juli 2012,Pemantauan Khusus,Properties & Real Estate
GDST,Gunawan Dianjaya Steel Tbk.,23 Desember 2009,Pengembangan,Basic Materials
GDYR,Goodyear Indonesia Tbk.,22 Desember 1980,Pengembangan,Consumer Cyclicals
GEMA,Gema Grahasarana Tbk.,12 Agustus 2002,Pengembangan,Consumer Cyclicals
GEMS,Golden Energy Mines Tbk.,17 November 2011,Utama,Energy
GGRM,Gudang Garam Tbk.,27 Agustus 1990,Utama,`
GGRP,Gunung Raja Paksi Tbk.,19 September 2019,Pemantauan Khusus,Basic Materials
GHON,Gihon Telekomunikasi Indonesia,9 April 2018,Pengembangan,Infrastructure
GIAA,Garuda Indonesia (Persero) Tbk,11 Februari 2011,Pemantauan Khusus,Transportation & Logistics
GJTL,Gajah Tunggal Tbk.,8 Mei 1990,Utama,Consumer Cyclicals
GLOB,Globe Kita Terang Tbk.,10 Juli 2012,Pemantauan Khusus,Consumer Cyclicals
GLVA,Galva Technologies Tbk.,23 Desember 2019,Pengembangan,Technology
GMFI,Garuda Maintenance Facility Ae,10 Oktober 2017,Pemantauan Khusus,Infrastructure
GMTD,Gowa Makassar Tourism Developm,11 Desember 2000,Pengembangan,Properties & Real Estate
GOLD,Visi Telekomunikasi Infrastruk,7 Juli 2010,Pengembangan,Infrastructure
GOLF,Intra Golflink Resorts Tbk.,8 Juli 2024,Utama,Consumer Cyclicals
GOLL,Golden Plantation Tbk.,23 Desember 2014,Pemantauan Khusus,Consumer Non-Cyclicals
GOOD,Garudafood Putra Putri Jaya Tb,10 Oktober 2018,Utama,Consumer Non-Cyclicals
GOTO,GoTo Gojek Tokopedia Tbk.,11 April 2022,Ekonomi Baru,Technology
GPRA,Perdana Gapuraprima Tbk.,10 Oktober 2007,Pengembangan,Properties & Real Estate
GPSO,Geoprima Solusi Tbk.,6 September 2021,Pengembangan,Industrials
GRIA,Ingria Pratama Capitalindo Tbk,8 Agustus 2023,Pengembangan,Properties & Real Estate
GRPH,Griha Putra Persada Tbk.,17 Januari 2024,Pengembangan,Consumer Cyclicals
GRPM,Graha Prima Mentari Tbk.,10 Juli 2023,Akselerasi,Consumer Non-Cyclicals
GSMF,Equity Development Investment,23 Oktober 1989,Pengembangan,Financials
GTBO,Garda Tujuh Buana Tbk,9 Juli 2009,Pengembangan,Energy
GTRA,Grahaprima Suksesmandiri Tbk.,30 Maret 2023,Pengembangan,Transportation & Logistics
GTSI,GTS Internasional Tbk.,8 September 2021,Pemantauan Khusus,Energy
GULA,Aman Agrindo Tbk.,3 Agustus 2022,Pengembangan,Consumer Non-Cyclicals
GUNA,Gunanusa Eramandiri Tbk.,9 Juli 2024,Pengembangan,Consumer Non-Cyclicals
GWSA,Greenwood Sejahtera Tbk.,23 Desember 2011,Utama,Consumer Cyclicals
GZCO,Gozco Plantations Tbk.,15 Mei 2008,Pengembangan,Consumer Non-Cyclicals
HADE,Himalaya Energi Perkasa Tbk.,12 April 2004,Pemantauan Khusus,Infrastructure
HAIS,Hasnur Internasional Shipping,1 September 2021,Pengembangan,Transportation & Logistics
HAJJ,Arsy Buana Travelindo Tbk.,5 April 2023,Akselerasi,Consumer Cyclicals
HALO,Haloni Jane Tbk.,8 Februari 2023,Pengembangan,Healthcare
HATM,Habco Trans Maritima Tbk.,26 Juli 2022,Utama,Transportation & Logistics
HBAT,Minahasa Membangun Hebat Tbk.,7 Agustus 2023,Akselerasi,Properties & Real Estate
HDFA,Radana Bhaskara Finance Tbk.,10 Mei 2011,Pengembangan,Financials
HDIT,Hensel Davest Indonesia Tbk.,12 Juli 2019,Pemantauan Khusus,Technology
HDTX,Panasia Indo Resources Tbk.,6 Juni 1990,Pemantauan Khusus,Consumer Cyclicals
HEAL,Medikaloka Hermina Tbk.,16 Mei 2018,Utama,Healthcare
HELI,Jaya Trishindo Tbk.,27 Maret 2018,Pengembangan,Transportation & Logistics
HERO,DFI Retail Nusantara Tbk,21 Agustus 1989,Pengembangan,Consumer Non-Cyclicals
HEXA,Hexindo Adiperkasa Tbk.,13 Februari 1995,Utama,Industrials
HILL,Hillcon Tbk.,1 Maret 2023,Utama,Energy
HITS,Humpuss Intermoda Transportasi,15 Desember 1997,Utama,Energy
HKMU,HK Metals Utama Tbk.,9 Oktober 2018,Pemantauan Khusus,Basic Materials
HMSP,H.M. Sampoerna Tbk.,15 Agustus 1990,Pengembangan,Consumer Non-Cyclicals
HOKI,Buyung Poetra Sembada Tbk.,22 Juni 2017,Utama,Consumer Non-Cyclicals
HOME,Hotel Mandarine Regency Tbk.,17 Juli 2008,Pemantauan Khusus,Consumer Cyclicals
HOMI,Grand House Mulia Tbk.,10 September 2020,Pengembangan,Properties & Real Estate
HOPE,Harapan Duta Pertiwi Tbk.,24 Mei 2021,Pemantauan Khusus,Industrials
HOTL,Saraswati Griya Lestari Tbk.,10 Januari 2013,Pemantauan Khusus,Consumer Cyclicals
HRME,Menteng Heritage Realty Tbk.,12 April 2019,Pemantauan Khusus,Consumer Cyclicals
HRTA,Hartadinata Abadi Tbk.,21 Juni 2017,Utama,Consumer Cyclicals
HRUM,Harum Energy Tbk.,6 Oktober 2010,Utama,Energy
HUMI,Humpuss Maritim Internasional,9 Agustus 2023,Utama,Energy
HYGN,Ecocare Indo Pasifik Tbk.,13 Februari 2024,Pengembangan,Industrials
IATA,MNC Energy Investments Tbk.,13 September 2006,Pemantauan Khusus,Energy
IBFN,Intan Baru Prana Tbk.,22 Desember 2014,Pemantauan Khusus,Industrials
IBOS,Indo Boga Sukses Tbk.,25 April 2022,Akselerasi,Consumer Non-Cyclicals
IBST,Inti Bangun Sejahtera Tbk.,31 Agustus 2012,Pemantauan Khusus,Infrastructure
ICBP,Indofood CBP Sukses Makmur Tbk,7 Oktober 2010,Utama,Consumer Non-Cyclicals
ICON,Island Conces Indonesia Tbk.,8 Juli 2005,Pemantauan Khusus,Industrials
IDEA,Idea Indonesia Akademi Tbk.,9 September 2021,Akselerasi,Consumer Cyclicals
IDPR,Indonesia Pondasi Raya Tbk.,10 Desember 2015,Pengembangan,Infrastructure
IFII,Indonesia Fibreboard Industry,10 Desember 2019,Pengembangan,Basic Materials
IFSH,Ifishdeco Tbk.,5 Desember 2019,Pengembangan,Basic Materials
IGAR,Champion Pacific Indonesia Tbk,5 November 1990,Pengembangan,Basic Materials
IIKP,Inti Agri Resources Tbk,14 Oktober 2002,Pemantauan Khusus,Consumer Cyclicals
IKAI,Intikeramik Alamasri Industri,4 Juni 1997,Pemantauan Khusus,Industrials
IKAN,Era Mandiri Cemerlang Tbk.,12 Februari 2020,Pemantauan Khusus,Consumer Non-Cyclicals
IKBI,Sumi Indo Kabel Tbk.,21 Januari 1991,Pengembangan,Industrials
IKPM,Ikapharmindo Putramas Tbk.,8 November 2023,Pengembangan,Healthcare
IMAS,Indomobil Sukses Internasional,15 November 1993,Utama,Consumer Cyclicals
IMJS,Indomobil Multi Jasa Tbk.,10 Desember 2013,Pengembangan,Transportation & Logistics
IMPC,Impack Pratama Industri Tbk.,17 Desember 2014,Utama,Industrials
INAF,Indofarma Tbk.,17 April 2001,Pemantauan Khusus,Healthcare
INAI,Indal Aluminium Industry Tbk.,5 Desember 1994,Pengembangan,Basic Materials
INCF,Indo Komoditi Korpora Tbk.,6 September 2016,Pemantauan Khusus,Basic Materials
INCI,Intanwijaya Internasional Tbk,24 Juli 1990,Pengembangan,Basic Materials
INCO,Vale Indonesia Tbk.,16 Mei 1990,Utama,Basic Materials
INDF,Indofood Sukses Makmur Tbk.,14 Juli 1994,Utama,Consumer Non-Cyclicals
INDO,Royalindo Investa Wijaya Tbk.,13 Januari 2020,Pengembangan,Properties & Real Estate
INDR,Indo-Rama Synthetics Tbk.,3 Agustus 1990,Pengembangan,Consumer Cyclicals
INDS,Indospring Tbk.,10 Agustus 1990,Pengembangan,Consumer Cyclicals
INDX,Tanah Laut Tbk,17 Mei 2001,Pengembangan,Industrials
INDY,Indika Energy Tbk.,11 Juni 2008,Utama,Energy
INET,Sinergi Inti Andalan Prima Tbk,24 Juli 2023,Pengembangan,Infrastructure
INKP,Indah Kiat Pulp & Paper Tbk.,16 Juli 1990,Utama,Basic Materials
INOV,Inocycle Technology Group Tbk.,10 Juli 2019,Pengembangan,Consumer Cyclicals
INPC,Bank Artha Graha Internasional,23 Agustus 1990,Utama,Financials
INPP,Indonesian Paradise Property T,12 Januari 2004,Pengembangan,Properties & Real Estate
INPS,Indah Prakasa Sentosa Tbk.,6 April 2018,Pengembangan,Energy
INRU,Toba Pulp Lestari Tbk.,18 Juni 1990,Pengembangan,Basic Materials
INTA,Intraco Penta Tbk.,23 Agustus 1993,Pemantauan Khusus,Industrials
INTD,Inter Delta Tbk,18 Desember 1989,Pengembangan,Basic Materials
INTP,Indocement Tunggal Prakarsa Tb,5 Desember 1989,Utama,Basic Materials
IOTF,Sumber Sinergi Makmur Tbk.,6 Oktober 2023,Pengembangan,Technology
IPAC,Era Graharealty Tbk.,30 Juni 2021,Akselerasi,Properties & Real Estate
IPCC,Indonesia Kendaraan Terminal T,9 Juli 2018,Utama,Infrastructure
IPCM,Jasa Armada Indonesia Tbk.,22 Desember 2017,Pengembangan,Infrastructure
IPOL,Indopoly Swakarsa Industry Tbk,9 Juli 2010,Pengembangan,Basic Materials
IPPE,Indo Pureco Pratama Tbk.,9 Desember 2021,Pemantauan Khusus,Consumer Non-Cyclicals
IRRA,Itama Ranoraya Tbk.,15 Oktober 2019,Pengembangan,Healthcare
IRSX,Folago Global Nusantara Tbk,7 Februari 2023,Pemantauan Khusus,Technology
PTIS,Indo Straits Tbk.,12 Juli 2011,Pengembangan,Energy
ISAP,Isra Presisi Indonesia Tbk.,9 Desember 2022,Akselerasi,Consumer Cyclicals
ISAT,Indosat Tbk.,19 Oktober 1994,Utama,Infrastructure
ISEA,Indo American Seafoods Tbk.,8 Juli 2024,Pengembangan,Consumer Non-Cyclicals
ISSP,Steel Pipe Industry of Indones,22 Februari 2013,Utama,Basic Materials
ITIC,Indonesian Tobacco Tbk.,4 Juli 2019,Pengembangan,Consumer Non-Cyclicals
ITMA,Sumber Energi Andalan Tbk.,10 Desember 1990,Pengembangan,Energy
ITMG,Indo Tambangraya Megah Tbk.,18 Desember 2007,Utama,Energy
IPTV,MNC Vision Networks Tbk.,8 Juli 2019,Pemantauan Khusus,Consumer Cyclicals
JARR,Jhonlin Agro Raya Tbk.,4 Agustus 2022,Utama,Consumer Non-Cyclicals
JAST,Jasnita Telekomindo Tbk.,16 Mei 2019,Pemantauan Khusus,Infrastructure
JATI,Informasi Teknologi Indonesia,8 Mei 2023,Pengembangan,Technology
JAWA,Jaya Agra Wattie Tbk.,30 Mei 2011,Pengembangan,Consumer Non-Cyclicals
JAYA,Armada Berjaya Trans Tbk.,21 Februari 2019,Pengembangan,Transportation & Logistics
JECC,Jembo Cable Company Tbk.,18 November 1992,Pengembangan,Industrials
JGLE,Graha Andrasentra Propertindo,29 Juni 2016,Pemantauan Khusus,Consumer Cyclicals
JIHD,Jakarta International Hotels &,29 Februari 1984,Pemantauan Khusus,Consumer Cyclicals
JKON,Jaya Konstruksi Manggala Prata,4 Desember 2007,Utama,Infrastructure
JKSW,Jakarta Kyoei Steel Works Tbk.,6 Agustus 1997,Pemantauan Khusus,Basic Materials
JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Desember 2017,Pengembangan,Financials
JPFA,Japfa Comfeed Indonesia Tbk.,23 Oktober 1989,Utama,Consumer Non-Cyclicals
JRPT,Jaya Real Property Tbk.,29 Juni 1994,Pengembangan,Properties & Real Estate
JSPT,Jakarta Setiabudi Internasiona,12 Januari 1998,Pengembangan,Consumer Cyclicals
JSKY,Sky Energy Indonesia Tbk.,28 Maret 2018,Pemantauan Khusus,Energy
JSMR,Jasa Marga (Persero) Tbk.,12 November 2007,Utama,Infrastructure
JTPE,Jasuindo Tiga Perkasa Tbk.,16 April 2002,Utama,Industrials
KAEF,Kimia Farma Tbk.,4 Juli 2001,Pengembangan,Healthcare
KARW,Meratus Jasa Prima Tbk.,20 Desember 1994,Pemantauan Khusus,Infrastructure
KAYU,Darmi Bersaudara Tbk.,4 Juli 2019,Pemantauan Khusus,Basic Materials
KBAG,Karya Bersama Anugerah Tbk.,8 April 2020,Pemantauan Khusus,Properties & Real Estate
KBLI,KMI Wire & Cable Tbk.,6 Juli 1992,Utama,Industrials
KBLM,Kabelindo Murni Tbk.,1 Juni 1992,Pengembangan,Industrials
KBLV,First Media Tbk.,25 Februari 2000,Pemantauan Khusus,Infrastructure
KBRI,Kertas Basuki Rachmat Indonesi,11 Juli 2008,Pemantauan Khusus,Basic Materials
KDSI,Kedawung Setia Industrial Tbk.,29 Juli 1996,Pengembangan,Basic Materials
KDTN,Puri Sentul Permai Tbk.,9 November 2022,Pengembangan,Consumer Cyclicals
KEEN,Kencana Energi Lestari Tbk.,2 September 2019,Utama,Infrastructure
KEJU,Mulia Boga Raya Tbk.,25 November 2019,Pengembangan,Consumer Non-Cyclicals
KETR,Ketrosden Triasmitra Tbk.,11 Januari 2021,Pengembangan,Infrastructure
KIAS,Keramika Indonesia Assosiasi T,8 Desember 1994,Pemantauan Khusus,Industrials
KICI,Kedaung Indah Can Tbk,28 Oktober 1993,Pengembangan,Consumer Cyclicals
KIJA,Kawasan Industri Jababeka Tbk.,10 Januari 1995,Utama,Properties & Real Estate
KING,Hoffmen Cleanindo Tbk.,16 Februari 2023,Akselerasi,Industrials
KINO,Kino Indonesia Tbk.,11 Desember 2015,Pengembangan,Consumer Non-Cyclicals
KIOS,Kioson Komersial Indonesia Tbk,5 Oktober 2017,Pengembangan,Technology
KJEN,Krida Jaringan Nusantara Tbk.,1 Juli 2019,Pengembangan,Transportation & Logistics
KKES,Kusuma Kemindo Sentosa Tbk.,8 Agustus 2022,Pemantauan Khusus,Basic Materials
KKGI,Resource Alam Indonesia Tbk.,1 Juli 1991,Utama,Energy
KLAS,Pelayaran Kurnia Lautan Semest,12 Juni 2023,Pengembangan,Transportation & Logistics
KLBF,Kalbe Farma Tbk.,30 Juli 1991,Utama,Healthcare
KLIN,Klinko Karya Imaji Tbk.,9 Agustus 2022,Pemantauan Khusus,Consumer Cyclicals
KMDS,Kurniamitra Duta Sentosa Tbk.,7 September 2020,Pengembangan,Consumer Non-Cyclicals
KMTR,Kirana Megatara Tbk.,19 Juni 2017,Pengembangan,Basic Materials
KOBX,Kobexindo Tractors Tbk.,5 Juli 2012,Pengembangan,Industrials
KOCI,Kokoh Exa Nusantara Tbk.,7 Oktober 2023,Pengembangan,Properties & Real Estate
KOIN,Kokoh Inti Arebama Tbk,9 April 2008,Pemantauan Khusus,Industrials
KOKA,Koka Indonesia Tbk.,11 Oktober 2023,Pengembangan,Infrastructure
KONI,Perdana Bangun Pusaka Tbk,22 Agustus 1995,Pemantauan Khusus,Industrials
KOPI,Mitra Energi Persada Tbk.,4 Mei 2015,Pengembangan,Energy
KOTA,DMS Propertindo Tbk.,9 Juli 2019,Pemantauan Khusus,Consumer Cyclicals
KPAL,Steadfast Marine Tbk.,8 Juni 2018,Pemantauan Khusus,Industrials
KPAS,Cottonindo Ariesta Tbk.,5 Oktober 2018,Pemantauan Khusus,Consumer Non-Cyclicals
KPIG,MNC Land Tbk.,30 Maret 2000,Pengembangan,Consumer Cyclicals
KRAH,Grand Kartech Tbk.,8 November 2013,Pemantauan Khusus,Industrials
KRAS,Krakatau Steel (Persero) Tbk.,10 November 2010,Pengembangan,Basic Materials
KREN,Quantum Clovera Investama Tbk.,28 Juni 2002,Pemantauan Khusus,Technology
KRYA,Bangun Karya Perkasa Jaya Tbk.,25 Juli 2022,Pengembangan,Infrastructure
KUAS,Ace Oldfields Tbk.,25 Oktober 2021,Pengembangan,Industrials
LABA,Green Power Group Tbk.,10 Juni 2021,Pengembangan,Industrials
LABS,UBC Medical Indonesia Tbk.,10 Juli 2024,Pengembangan,Healthcare
LAJU,Jasa Berdikari Logistics Tbk.,27 Januari 2023,Pengembangan,Transportation & Logistics
LAND,Trimitra Propertindo Tbk.,23 Agustus 2018,Pemantauan Khusus,Properties & Real Estate
LAPD,Leyand International Tbk.,17 Juli 2001,Pemantauan Khusus,Consumer Non-Cyclicals
LCGP,Eureka Prima Jakarta Tbk.,13 Juli 2007,Pemantauan Khusus,Properties & Real Estate
LCKM,LCK Global Kedaton Tbk.,16 Januari 2018,Pengembangan,Infrastructure
LEAD,Logindo Samudramakmur Tbk.,11 Desember 2013,Pengembangan,Energy
LFLO,Imago Mulia Persada Tbk.,7 April 2021,Akselerasi,Consumer Cyclicals
LIFE,MSIG Life Insurance Indonesia,9 Juli 2019,Pengembangan,Financials
LINK,Link Net Tbk.,2 Juni 2014,Pengembangan,Infrastructure
LION,Lion Metal Works Tbk.,20 Agustus 1993,Pemantauan Khusus,Industrials
LIVE,Homeco Victoria Makmur Tbk.,12 Februari 2024,Pengembangan,Consumer Cyclicals
LMAS,Limas Indonesia Makmur Tbk,28 Desember 2001,Pemantauan Khusus,Technology
LMAX,Lupromax Pelumas Indonesia Tbk,9 Agustus 2023,Akselerasi,Consumer Cyclicals
LMPI,Langgeng Makmur Industri Tbk.,17 Oktober 1994,Pengembangan,Consumer Cyclicals
LMSH,Lionmesh Prima Tbk.,4 Juni 1990,Pemantauan Khusus,Basic Materials
LOPI,Logisticsplus International Tb,11 Oktober 2023,Akselerasi,Transportation & Logistics
LPCK,Lippo Cikarang Tbk,24 Juli 1997,Utama,Properties & Real Estate
LPGI,Lippo General Insurance Tbk.,22 Juli 1997,Pemantauan Khusus,Financials
LPIN,Multi Prima Sejahtera Tbk,5 Februari 1990,Pengembangan,Consumer Cyclicals
LPKR,Lippo Karawaci Tbk.,28 Juni 1996,Utama,Properties & Real Estate
LPLI,Star Pacific Tbk,23 Oktober 1989,Pengembangan,Properties & Real Estate
LPPF,MDS Retailing Tbk,9 Oktober 1989,Utama,Consumer Cyclicals
LPPS,Lenox Pasifik Investama Tbk.,28 Maret 1994,Pengembangan,Financials
LRNA,Eka Sari Lorena Transport Tbk.,15 April 2014,Pengembangan,Transportation & Logistics
LSIP,PP London Sumatra Indonesia Tb,5 Juli 1996,Utama,Consumer Non-Cyclicals
LTLS,Lautan Luas Tbk.,21 Juli 1997,Utama,Basic Materials
LUCK,Sentral Mitra Informatika Tbk.,28 November 2018,Pengembangan,Technology
LUCY,Lima Dua Lima Tiga Tbk.,5 Mei 2021,Akselerasi,Consumer Cyclicals
MABA,Marga Abhinaya Abadi Tbk.,22 Juni 2017,Pemantauan Khusus,Consumer Cyclicals
MAGP,Multi Agro Gemilang Plantation,16 Januari 2013,Pemantauan Khusus,Consumer Non-Cyclicals
MAHA,Mandiri Herindo Adiperkasa Tbk,25 Juli 2023,Utama,Energy
MAIN,Malindo Feedmill Tbk.,10 Februari 2006,Utama,Consumer Non-Cyclicals
MAMI,Mas Murni Indonesia Tbk,9 Februari 1994,Pemantauan Khusus,Consumer Cyclicals
MANG,Manggung Polahraya Tbk.,11 Januari 2024,Akselerasi,Infrastructure
MAPA,Map Aktif Adiperkasa Tbk.,5 Juli 2018,Utama,Consumer Cyclicals
MAPB,MAP Boga Adiperkasa Tbk.,21 Juni 2017,Pemantauan Khusus,Consumer Cyclicals
MAPI,Mitra Adiperkasa Tbk.,10 November 2004,Utama,Consumer Cyclicals
MARI,Mahaka Radio Integra Tbk.,11 Februari 2016,Pengembangan,Consumer Cyclicals
MARK,Mark Dynamics Indonesia Tbk.,12 Juli 2017,Utama,Industrials
MASA,Multistrada Arah Sarana Tbk.,9 Juni 2005,Utama,Consumer Cyclicals
MASB,Bank Multiarta Sentosa Tbk.,30 Juni 2021,Pengembangan,Financials
MAXI,Maxindo Karya Anugerah Tbk.,12 Juni 2023,Pengembangan,Consumer Non-Cyclicals
MAYA,Bank Mayapada Internasional Tb,29 Agustus 1997,Utama,Financials
MBAP,Mitrabara Adiperdana Tbk.,10 Juli 2014,Pengembangan,Energy
MBMA,Merdeka Battery Materials Tbk.,18 April 2023,Pengembangan,Basic Materials
MBSS,Mitrabahtera Segara Sejati Tbk,6 April 2011,Utama,Energy
MBTO,Martina Berto Tbk.,13 Januari 2011,Pengembangan,Consumer Non-Cyclicals
MCAS,M Cash Integrasi Tbk.,1 November 2017,Utama,Technology
MCOL,Prima Andalan Mandiri Tbk.,7 September 2021,Utama,Energy
MCOR,Bank China Construction Bank I,3 Juli 2007,Utama,Financials
MDIA,Intermedia Capital Tbk.,11 April 2014,Pemantauan Khusus,Consumer Cyclicals
MDKA,Merdeka Copper Gold Tbk.,19 Juni 2015,Utama,Basic Materials
MDKI,Emdeki Utama Tbk.,25 September 2017,Pengembangan,Basic Materials
MDLN,Modernland Realty Tbk.,18 Januari 1993,Utama,Properties & Real Estate
MDRN,Modern Internasional Tbk.,16 Juli 1991,Pemantauan Khusus,Industrials
MEDC,Medco Energi Internasional Tbk,12 Oktober 1994,Utama,Energy
MEDS,Hetzer Medical Indonesia Tbk.,10 Agustus 2022,Pengembangan,Healthcare
MEGA,Bank Mega Tbk.,17 April 2000,Utama,Financials
MEJA,Harta Djaya Karya Tbk.,12 Februari 2024,Akselerasi,Consumer Cyclicals
MENN,Menn Teknologi Indonesia Tbk.,18 April 2023,Akselerasi,Technology
MERK,Merck Tbk.,23 Juli 1981,Pengembangan,Healthcare
